node_id,region,ServerOrClientregion,cluster_id,key_file,clientID,ServerID, PublicIp
0, 'us-west1-b', 0, 0, 'FKA.pem', -1, 0,
1, 'us-west1-b', 0, 0, 'FKA.pem', -1, 1,
2, 'us-west1-b', 0, 0, 'FKA.pem', -1, 2,
3, 'us-west1-b', 0, 0, 'FKA.pem', -1, 3,
4, 'us-west1-b', 0, 0, 'FKA.pem', -1, 4,
5, 'us-west1-b', 0, 0, 'FKA.pem', -1, 5,
6, 'us-west1-b', 0, 0, 'FKA.pem', -1, 6,
7, 'us-west1-b', 0, 0, 'FKA.pem', -1, 7,
8, 'us-west1-b', 0, 1, 'FKA.pem', -1, 8,
9, 'us-west1-b', 0, 1, 'FKA.pem', -1, 9,
10, 'us-west1-b', 0, 1, 'FKA.pem', -1, 10,
11, 'us-west1-b', 0, 1, 'FKA.pem', -1, 11,
12, 'us-west1-b', 0, 1, 'FKA.pem', -1, 12,
13, 'us-west1-b', 0, 1, 'FKA.pem', -1, 13,
14, 'us-west1-b', 0, 1, 'FKA.pem', -1, 14,
15, 'us-west1-b', 0, 1, 'FKA.pem', -1, 15,

16, 'us-west1-b', 1, -1, 'FKA.pem', 0, -1,
17, 'us-west1-b', 1, -1, 'FKA.pem', 1, -1,
18, 'us-west1-b', 1, -1, 'FKA.pem', 2, -1,
19, 'us-west1-b', 1, -1, 'FKA.pem', 3, -1,
20, 'us-west1-b', 1, -1, 'FKA.pem', 12, -1,
21, 'us-west1-b', 1, -1, 'FKA.pem', 13, -1,
22, 'us-west1-b', 1, -1, 'FKA.pem', 14, -1,
23, 'us-west1-b', 1, -1, 'FKA.pem', 15, -1,

24, 'europe-west3-c', 0, 2, 'FKE.pem', -1, 16,
25, 'europe-west3-c', 0, 2, 'FKE.pem', -1, 17,
26, 'europe-west3-c', 0, 2, 'FKE.pem', -1, 18,
27, 'europe-west3-c', 0, 2, 'FKE.pem', -1, 19,
28, 'europe-west3-c', 0, 2, 'FKE.pem', -1, 20,
29, 'europe-west3-c', 0, 2, 'FKE.pem', -1, 21,
30, 'europe-west3-c', 0, 2, 'FKE.pem', -1, 22,
31, 'europe-west3-c', 0, 2, 'FKE.pem', -1, 23,
32, 'europe-west3-c', 0, 3, 'FKE.pem', -1, 24,
33, 'europe-west3-c', 0, 3, 'FKE.pem', -1, 25,
34, 'europe-west3-c', 0, 3, 'FKE.pem', -1, 26,
35, 'europe-west3-c', 0, 3, 'FKE.pem', -1, 27,
36, 'europe-west3-c', 0, 3, 'FKE.pem', -1, 28,
37, 'europe-west3-c', 0, 3, 'FKE.pem', -1, 29,
38, 'europe-west3-c', 0, 3, 'FKE.pem', -1, 30,
39, 'europe-west3-c', 0, 3, 'FKE.pem', -1, 31,

40, 'europe-west3-c', 1, -1, 'FKE.pem', 4, -1,
41, 'europe-west3-c', 1, -1, 'FKE.pem', 5, -1,
42, 'europe-west3-c', 1, -1, 'FKE.pem', 6, -1,
43, 'europe-west3-c', 1, -1, 'FKE.pem', 7, -1,
44, 'europe-west3-c', 1, -1, 'FKE.pem', 16, -1,
45, 'europe-west3-c', 1, -1, 'FKE.pem', 17, -1,
46, 'europe-west3-c', 1, -1, 'FKE.pem', 18, -1,
47, 'europe-west3-c', 1, -1, 'FKE.pem', 19, -1,

48, 'asia-south1-c', 0, 4, 'FKU2.pem', -1, 32,
49, 'asia-south1-c', 0, 4, 'FKU2.pem', -1, 33,
50, 'asia-south1-c', 0, 4, 'FKU2.pem', -1, 34,
51, 'asia-south1-c', 0, 4, 'FKU2.pem', -1, 35,
52, 'asia-south1-c', 0, 4, 'FKU2.pem', -1, 36,
53, 'asia-south1-c', 0, 4, 'FKU2.pem', -1, 37,
54, 'asia-south1-c', 0, 4, 'FKU2.pem', -1, 38,
55, 'asia-south1-c', 0, 4, 'FKU2.pem', -1, 39,
56, 'asia-south1-c', 0, 5, 'FKU2.pem', -1, 40,
57, 'asia-south1-c', 0, 5, 'FKU2.pem', -1, 41,
58, 'asia-south1-c', 0, 5, 'FKU2.pem', -1, 42,
59, 'asia-south1-c', 0, 5, 'FKU2.pem', -1, 43,
60, 'asia-south1-c', 0, 5, 'FKU2.pem', -1, 44,
61, 'asia-south1-c', 0, 5, 'FKU2.pem', -1, 45,
62, 'asia-south1-c', 0, 5, 'FKU2.pem', -1, 46,
63, 'asia-south1-c', 0, 5, 'FKU2.pem', -1, 47,

64, 'asia-south1-c', 1, -1, 'FKU2.pem', 8, -1,
65, 'asia-south1-c', 1, -1, 'FKU2.pem', 9, -1,
66, 'asia-south1-c', 1, -1, 'FKU2.pem', 10, -1,
67, 'asia-south1-c', 1, -1, 'FKU2.pem', 11, -1,
68, 'asia-south1-c', 1, -1, 'FKU2.pem', 20, -1,
69, 'asia-south1-c', 1, -1, 'FKU2.pem', 21, -1,
70, 'asia-south1-c', 1, -1, 'FKU2.pem', 22, -1,
71, 'asia-south1-c', 1, -1, 'FKU2.pem', 23, -1,
